package,category,file,message
@jridgewell~sourcemap-codec-1.5.5,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2058,36): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
@jridgewell~sourcemap-codec-1.5.5,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2062,37): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
@jridgewell~sourcemap-codec-1.5.5,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2066,39): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
@jridgewell~sourcemap-codec-1.5.5,GENERATE_TYPES,1,"node_modules/@types/node/web-globals/fetch.d.ts(3,25): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
@jridgewell~sourcemap-codec-1.5.5,GENERATE_TYPES,1,"node_modules/@types/node/worker_threads.d.ts(66,34): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(2,37): error TS2339: Property '__importDefault' does not exist on type 'typeof import(""/usr/src/app/packages/jackspeak-4.1.1/package/dist/commonjs/index"")'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(7,29): error TS2792: Cannot find module 'node:util'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(11,29): error TS2792: Cannot find module 'node:path'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(53,24): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(197,19): error TS2339: Property 'default' does not exist on type '{ short: any; type: string; multiple: boolean; }'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(238,47): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(285,23): error TS2339: Property 'captureStackTrace' does not exist on type 'ErrorConstructor'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(317,18): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(350,22): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(351,31): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(541,25): error TS2339: Property 'pre' does not exist on type '{}'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(656,58): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/commonjs/index.js(750,58): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(1,37): error TS2792: Cannot find module 'node:util'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(5,26): error TS2792: Cannot find module 'node:path'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(44,24): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(188,19): error TS2339: Property 'default' does not exist on type '{ short: any; type: string; multiple: boolean; }'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(229,47): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(276,23): error TS2339: Property 'captureStackTrace' does not exist on type 'ErrorConstructor'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(308,18): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(341,22): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(342,31): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(532,25): error TS2339: Property 'pre' does not exist on type '{}'."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(647,41): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"dist/esm/index.js(741,41): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`."
jackspeak-4.1.1,GENERATE_TYPES,1,"node_modules/@types/string-width/index.d.ts(6,23): error TS2688: Cannot find type definition file for 'node'."
statuses-2.0.2,GENERATE_TYPES,1,"index.js(15,21): error TS2792: Cannot find module './codes.json'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
statuses-2.0.2,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2058,36): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
statuses-2.0.2,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2062,37): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
statuses-2.0.2,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2066,39): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
statuses-2.0.2,GENERATE_TYPES,1,"node_modules/@types/node/web-globals/fetch.d.ts(3,25): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
statuses-2.0.2,GENERATE_TYPES,1,"node_modules/@types/node/worker_threads.d.ts(66,34): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"dangerous.js(19,18): error TS2739: Type '{}' is missing the following properties from type '{ allocUnsafe(size: any): any; allocUnsafeSlow(size: any): any; }': allocUnsafe, allocUnsafeSlow"
safer-buffer-2.1.2,GENERATE_TYPES,1,"dangerous.js(42,12): error TS2348: Value of type 'BufferConstructor' is not callable. Did you mean to include 'new'?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"dangerous.js(54,12): error TS2348: Value of type '{ new (size: number): Buffer<ArrayBuffer>; prototype: Buffer<ArrayBufferLike>; }' is not callable. Did you mean to include 'new'?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2058,36): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2062,37): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"node_modules/@types/node/http.d.ts(2066,39): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"node_modules/@types/node/web-globals/fetch.d.ts(3,25): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"node_modules/@types/node/worker_threads.d.ts(66,34): error TS2792: Cannot find module 'undici-types'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
